,n_points,mean_raw,std_raw,max_raw,skewness,kurt,n_peaks,mean_peak_height,max_peak_height,peak_spacing_mean,peak_spacing_std,frac_above_thresh,longest_run_months,longest_run_frac,rise_slope,fall_slope,peak_position_frac,acf_lag1,acf_lag12,still_active,second_half_mean,first_half_mean,half_diff
Fairycore,268,11.682835820895523,22.431491143996528,100.0,1.913418715679574,2.710204312649597,11,0.6563636363636364,1.0,5.9,2.211334438749598,0.16044776119402984,34,0.12686567164179105,0.004651162790697674,-0.014615384615384615,0.8052434456928839,0.9496091388704127,0.6973513961568776,0,0.23365671641791042,0.0,0.23365671641791042
EMOfashio,268,11.746268656716419,16.59647803276354,100.0,2.2100235181962926,5.355440357044239,8,0.61375,1.0,5.285714285714286,3.1493439550069438,0.11194029850746269,23,0.08582089552238806,0.04,-0.0038842975206611566,0.09363295880149813,0.788874279284129,0.49919457990641625,0,0.041194029850746265,0.1937313432835821,-0.15253731343283583
Bomber jacket,268,25.317164179104477,21.985242764654803,100.0,0.7841273035523944,-0.197957921114416,20,0.579,1.0,6.473684210526316,2.3478640024416273,0.30970149253731344,21,0.07835820895522388,0.006802721088435374,-0.003416666666666667,0.550561797752809,0.9512949710304422,0.8392183503858088,1,0.4317910447761194,0.07455223880597013,0.3572388059701493
y2kaesthetic,268,11.313432835820896,19.472681940271645,100.0,1.5506028673666186,1.5789911261264047,12,0.5716666666666667,1.0,5.909090909090909,2.937362622073366,0.1791044776119403,35,0.13059701492537312,0.0037735849056603774,-0.405,0.9925093632958801,0.8940800398667508,0.7971571729887917,0,0.22305970149253734,0.003208955223880597,0.21985074626865675
disco fashion,268,32.86940298507463,19.678235297396274,100.0,-0.07911605878246042,0.07507682242150171,46,0.533695652173913,1.0,5.288888888888889,3.3241354580115834,0.582089552238806,30,0.11194029850746269,0.005263157894736842,-0.011168831168831168,0.7116104868913857,0.5183436983938949,0.2426416393344383,0,0.3877611940298508,0.2696268656716418,0.11813432835820903
Cottagecore,268,11.093283582089553,21.199537793332297,100.0,2.135788976304687,4.219087209307478,9,0.6733333333333333,1.0,8.25,5.3091901453988255,0.12313432835820895,27,0.10074626865671642,0.0049504950495049506,-0.012153846153846154,0.7565543071161048,0.9209059691484843,0.6521880902531592,0,0.22097014925373135,0.0008955223880597015,0.22007462686567164
Euphoriafashion,268,2.1305970149253732,9.306238700358529,100.0,6.517449422189931,53.37802374149241,1,1.0,1.0,0.0,0.0,0.014925373134328358,4,0.014925373134328358,0.004608294930875576,-0.0168,0.8127340823970037,0.6564326653453103,0.2624116434139185,0,0.04261194029850746,0.0,0.04261194029850746
mini skirts,268,31.817164179104477,14.980340480554629,100.0,2.073583018901641,3.8623738988901826,10,0.6317073170731706,1.0,29.22222222222222,70.29742808283763,0.13059701492537312,29,0.10820895522388059,0.03292682926829268,-0.003796146910885451,0.03745318352059925,0.896022559795195,0.8876756526248764,0,0.08481980342191482,0.2521842009464871,-0.16736439752457227
PENDULUMTOPS,268,20.08582089552239,19.76928740056481,100.0,1.055501496759692,1.4742347752988847,15,0.4973333333333334,1.0,9.214285714285714,15.31189346987018,0.19776119402985073,35,0.13059701492537312,0.009345794392523364,-0.0042499999999999994,0.40074906367041196,0.9644386089213808,0.6154219246993636,0,0.2605970149253731,0.14111940298507467,0.11947761194029846
chokers,268,14.73134328358209,14.331972491915481,100.0,2.573219797431472,9.191761597987583,3,0.5866666666666666,1.0,55.0,44.0,0.07835820895522388,20,0.07462686567164178,0.0061290322580645155,-0.0075,0.5805243445692884,0.9646137659965152,0.4895594834112354,0,0.23835820895522386,0.056268656716417904,0.18208955223880596
