month_index,predicted,lo_5,hi_95
0,0.0,0.0,3.3809728453149156e-07
1,0.0,0.0,1.1749852905493738e-05
2,2.2753805072427333e-285,1.4007607761577268e-262,8.121736964614885e-05
3,4.830770399733368e-242,1.020005974506418e-222,0.0003016833706556051
4,6.646898087627665e-211,4.5504155449766404e-194,0.0007927611444282245
5,4.611709363658044e-187,3.9274245108654314e-172,0.0016687059924303427
6,4.990631723272197e-168,1.281795725587518e-154,0.0030149600331828065
7,2.262257159798877e-152,3.2646997102514344e-140,0.004878617207838166
8,3.3377398615594418e-139,4.279074612437819e-128,0.007269210653869056
9,6.227641413500942e-128,1.0060217433059434e-117,0.010164944416268359
10,3.76611589020573e-118,1.008439265251654e-108,0.013520800959377945
11,1.4528849444437363e-109,8.035606660883599e-101,0.017276474150443033
12,5.906590095698548e-102,8.07747218394604e-94,0.021363169835149496
13,3.7058323791619265e-95,1.4549340778615037e-87,0.025708968607280606
14,4.8245161861529614e-89,6.166154894070094e-82,0.030242786191120096
15,1.6467548212325073e-83,7.625227774250894e-77,0.0348971178163896
16,1.777994779656927e-78,3.2700873851917837e-72,0.039609799137755024
17,7.07400720899408e-74,5.596803921500962e-68,0.04432500999089179
18,1.1760224820683509e-69,4.291547847842677e-64,0.048993718392215516
19,9.069630065740557e-66,1.6231595798685738e-60,0.05357372653751662
20,3.5426213693560734e-62,3.283016042187618e-57,0.05802944590290101
21,7.549636185331083e-59,3.8025515321685913e-54,0.0623314982074424
22,9.353407131093837e-56,2.67389093233385e-51,0.06645621394019029
23,7.1147871911382055e-53,1.2003128658873053e-48,0.07038508023595506
24,3.483465562706621e-50,3.5925509044398676e-46,0.07410417447834688
25,1.1438443603567998e-47,7.445552476606052e-44,0.07760360834743991
26,2.6112280081315965e-45,1.104463826706819e-41,0.0808769983666562
27,4.277375894808665e-43,1.2072806661196804e-39,0.08392097268198483
28,5.170065266054004e-41,9.97782187117947e-38,0.08673471927921719
29,4.7267590238614554e-39,6.378865109693299e-36,0.08931957767126104
30,3.3416943703634916e-37,3.219277849229279e-34,0.09142495489480608
31,1.8632765283205927e-35,1.3060901794540223e-32,0.0939295835307065
32,8.340374119928085e-34,4.329804654249673e-31,0.09507931510080594
33,3.045185049467205e-32,1.1901922164445469e-29,0.0951628083152322
34,9.200510885295915e-31,2.7489909807806747e-28,0.09450211044731437
35,2.330450636093885e-29,5.399408256884374e-27,0.09349704136137327
36,5.007678434684542e-28,9.117264105606018e-26,0.09352251945989574
37,9.227404358151469e-27,1.336694216034134e-24,0.09344845692210864
38,1.4724419820106039e-25,1.717017699882597e-23,0.0932827769461992
39,2.053132350014729e-24,1.9484185525296942e-22,0.09303292499074046
40,2.5222899231748844e-23,1.968083972868911e-21,0.09270588583660971
41,2.7508068867964577e-22,1.7818814746305055e-20,0.09244509258142986
42,2.6818731866564736e-21,1.4553453012985433e-19,0.09178833788006022
43,2.3524465504577488e-20,1.0786138474296915e-18,0.09110444413023966
44,1.8675935841239113e-19,7.293618148506179e-18,0.09037702181939
45,1.349308918261945e-18,4.52255711379507e-17,0.08961069063255002
46,8.916979316178957e-18,2.5835403613701575e-16,0.088809722137014
47,5.415692570279591e-17,1.3655789007573506e-15,0.0879780633425239
48,3.0361865042778116e-16,6.705577335781002e-15,0.08711935896039393
49,1.5776762842038426e-15,3.070435107589885e-14,0.08623697237182953
50,7.627443622131681e-15,1.3729192064057113e-13,0.08589792582344356
51,3.4431697571169755e-14,5.835913126503923e-13,0.08579629962580071
52,1.4561362180623687e-13,2.3271001603687503e-12,0.08721038232315997
53,5.787125815485305e-13,8.731355554767587e-12,0.09010918678419404
54,2.1677501446694664e-12,3.0913301937801265e-11,0.0928740483708788
55,7.674153133399208e-12,1.0355425885714094e-10,0.09549862146786993
56,2.574208987392454e-11,3.2903462366782787e-10,0.09720266799608361
57,8.201617965866133e-11,9.940176784443124e-10,0.09858645794767297
58,2.487631698924488e-10,2.8614986275974795e-09,0.09991127967666905
59,7.198376425953269e-10,7.769320237469983e-09,0.10110529535540196
60,1.9912368027260834e-09,1.9011326923219857e-08,0.10217043255766241
61,5.2756959356776955e-09,4.481462352635846e-08,0.10310900734552006
62,1.3411822926918448e-08,1.0192468731880576e-07,0.10388848496551062
63,3.27708027655263e-08,2.23990179330606e-07,0.10444800315799871
64,7.708640224621776e-08,4.7629050309698624e-07,0.10416176420899326
65,1.7483283179650358e-07,9.813108011292186e-07,0.10281880556242308
66,3.828698376703597e-07,1.963985228152861e-06,0.10139135728522439
67,8.10696491899345e-07,3.817684330508457e-06,0.0999402808131099
68,1.6619200551767386e-06,7.215627206408379e-06,0.09846932558660777
69,3.302508849052206e-06,1.3504312839423013e-05,0.09698199844745083
70,6.368990478243568e-06,2.5305526646453737e-05,0.09548157402420003
71,1.1933716473536975e-05,4.6098788158768296e-05,0.09397110511309849
72,2.174811666093616e-05,8.172224187211422e-05,0.09245343298282242
73,3.858768292456424e-05,0.0001411214770145726,0.0909311975438385
74,6.672313177759218e-05,0.00023766816471247485,0.08940684733359727
75,0.00011253947323013149,0.00039093139199200793,0.08788264927796008
76,0.00018531720995514837,0.0006282875599096442,0.08636069819721652
77,0.00029817649828263075,0.0009869161367028131,0.08484292603194443
78,0.0004691652833757409,0.0015163909957877266,0.08956222039212917
79,0.0007224465409101306,0.0021993620993163735,0.0949823521832676
