month_index,predicted,lo_5,hi_95
17,3.0440396353008283e-48,3.042011181793175e-144,9.230915579262521e-43
18,1.1025836650423537e-34,5.602280780503821e-103,1.5632756193921608e-30
19,7.923607966133829e-28,4.334230014787363e-82,2.3621267309097965e-24
20,1.9163812743624754e-23,1.0071916400438501e-68,2.23246046704344e-20
21,2.5559716808250197e-20,3.4642541379769133e-59,1.595261959482413e-17
22,6.060788550117678e-18,6.2035113298184524e-52,2.4079454198873594e-15
23,4.627773053546216e-16,3.523610472574144e-46,1.2938940039844006e-13
24,1.5983113977268e-14,1.7852650807922502e-41,3.3479193688937283e-12
25,3.083867065858595e-13,1.5340902353964355e-37,5.045876234643845e-11
26,3.821372643311271e-12,3.4176198986115613e-34,5.030875598614423e-10
27,3.348996422788639e-11,2.647467465148648e-31,3.6266267557934826e-09
28,2.2245614067384792e-10,8.804740627162876e-29,2.015745959221821e-08
29,1.178815787747714e-09,1.469305997660375e-26,9.06173807291662e-08
30,5.180641734529098e-09,1.3848252390378522e-24,3.417002190818537e-07
31,1.945890746077106e-08,8.464165942856249e-23,1.1117880241119605e-06
32,6.396611695011716e-08,3.4896737817019485e-21,3.191898665272939e-06
33,1.875543096177383e-07,1.0063211489911875e-19,8.232131974649477e-06
34,4.981345936800803e-07,2.1299250440736667e-18,1.9352561200096045e-05
35,1.2137009805154484e-06,3.4424318369991157e-17,4.196899568042346e-05
36,2.741522762608203e-06,4.3906030154067377e-16,8.480136370446291e-05
37,5.791865976892847e-06,4.542749947745467e-15,0.00016098411743785133
38,1.1530057721807397e-05,3.9047363636123774e-14,0.0002891552117764928
39,2.1766657566968766e-05,2.8477509463692934e-13,0.0004943733140576256
40,3.91803920963543e-05,1.7890914177179106e-12,0.0008087088222614219
41,6.756304436373342e-05,9.82638918537035e-12,0.0012713747503432288
42,0.00011207048617307844,4.7792109410192604e-11,0.0019283052636771142
43,0.00017946026715326115,2.081541021134641e-10,0.002831145524733647
44,0.00027829421597504075,8.19883555088339e-10,0.004035677592147118
45,0.0004190846796030387,2.9459525774807508e-09,0.005599764542573588
46,0.0006143653401909798,9.730686536913392e-09,0.00758094150209868
47,0.0008786717459056208,2.9749108758878716e-08,0.010033813140944378
48,0.001228422301967014,8.469685971561901e-08,0.01300743043367471
49,0.0016816968978562903,2.257863297545334e-07,0.01654281567091146
50,0.002257916966643301,5.663681224336749e-07,0.020670786323302905
51,0.00297743699535323,1.342748178628782e-06,0.025410199118847236
52,0.0038610628441149222,3.0208169838751754e-06,0.03076669982231444
53,0.004929516335221098,6.472401101082039e-06,0.036732025829309914
54,0.006202868239174123,1.3251077086033158e-05,0.043170471909602645
55,0.007699962955411258,2.600087734541051e-05,0.049810645695790357
56,0.00943785792812807,4.903080183380645e-05,0.0568695269076587
57,0.011431299317963512,8.919774284321596e-05,0.06429218263775895
58,0.013692252901141132,0.00015753077055179562,0.0720164666415406
59,0.016229505858852505,0.00026908096492522093,0.07997459374120078
60,0.01904835133100279,0.00044542049367202153,0.0880947823469479
61,0.022150363607449933,0.0007158527089175365,0.09630290223973126
62,0.0255332678554219,0.0011048123220393751,0.10452407257701521
63,0.02919090453337655,0.0016440518140956135,0.11396961836315223
64,0.03311328527379815,0.0024284160073558075,0.12374071060429213
65,0.037286734138929106,0.003505877782504246,0.1333802567708548
66,0.041694105829124514,0.004952933340198264,0.14279098147281324
67,0.04631507067918905,0.006855048662519825,0.15188081441167628
68,0.05112645510658293,0.009304619587004721,0.1593734613374479
69,0.05610262554342267,0.01239807937965127,0.1599254693976281
70,0.06121590373915375,0.016141771258803395,0.16979378526446895
71,0.06643700159716567,0.020216468606949423,0.1790277024003745
72,0.07173546433393943,0.02500888413176608,0.18349938428537954
73,0.07708011164882687,0.030542927643467287,0.18540761793897997
74,0.08243946769326582,0.036847653631542784,0.1883922901298809
75,0.08778217186181217,0.04393747661541737,0.19331159546766827
76,0.09307736373228834,0.05181023167961722,0.1954868087894231
77,0.09829503680513928,0.06078992440588554,0.19694110008797625
78,0.1034063569879696,0.0717180254618243,0.20223672603675838
79,0.10838394300430725,0.08366368800443796,0.20588924243057316
80,0.11320210704836262,0.09665625898772359,0.21206327496179417
81,0.11783705504040731,0.10984399535236572,0.21508966330083462
82,0.12226704674780667,0.12383993000621593,0.21932288048278276
83,0.1264725168183317,0.13014002872455646,0.2249107573021412
84,0.13043615842390052,0.14111305328350646,0.2303151080363738
85,0.13414297173730988,0.1521793783663023,0.23070040118607865
86,0.13758027986804572,0.1631001485713342,0.23717093459331937
87,0.1407377151745394,0.17354612466418878,0.24235380231624412
88,0.14360717905962014,0.18025282036862175,0.24791169535759225
89,0.1461827784547227,0.18348067768224283,0.25242866613982806
90,0.14846074221849456,0.1793956970366406,0.2569026427429072
91,0.15043932062863574,0.17508585471607152,0.25961763561118384
92,0.1521186710436378,0.17058477142899076,0.2626862473480473
93,0.15350073266445802,0.1659246161408039,0.2699337536030552
94,0.15458909314523644,0.16113595432794653,0.2713399466257839
95,0.1553888495960919,0.15624763317547571,0.270028963222423
96,0.15590646629806476,0.15128670028948935,0.2675124790957547
97,0.1561496312175722,0.14627835246094512,0.269005292917835
