month_index,predicted,lo_5,hi_95
191,0.16124740944833746,0.1270892485388177,0.3377749914789393
192,0.18932095976901234,0.1528053212737917,0.38275852614294975
193,0.2216255081102781,0.1832979739440126,0.4322661287253875
194,0.2585454076986569,0.21907943395273413,0.4855539197356968
195,0.3003998154873106,0.26070600909802705,0.5421202136601228
196,0.3473958227038471,0.3086353620069795,0.6012013515705817
197,0.39957032959017513,0.3632320080038486,0.661746051315966
198,0.45672233204033713,0.42756067091917294,0.7224085729369907
199,0.5183400442993183,0.4963156013877266,0.7826608955145816
200,0.5835309018421727,0.5677051669889935,0.8418183259709412
201,0.6509665451739101,0.6422874485132616,0.8946968927119467
202,0.7188584344732808,0.7177189909237838,0.9389024985819006
203,0.784981295117811,0.7887686586056296,0.9706875803103703
204,0.8467593470728176,0.8543669921397231,0.9912314143663934
205,0.9014227476036276,0.9079335626594048,1.0
206,0.9462286653981469,0.9514699328380573,1.0
207,0.9787248712997981,0.9733969559062952,1.0
208,0.9970180536221791,0.9480326629407085,1.0
209,0.9999999999999999,0.9103830598740398,0.9985047853952502
210,0.9874871687625983,0.8652459324322882,0.9779898366422336
211,0.9602442980647957,0.8050908946547655,0.9398825003573507
212,0.9198869564483897,0.7482209489909215,0.8928854290489344
213,0.8686838286934732,0.6797132992503305,0.8362195945726322
214,0.8092988406378864,0.6075482111276476,0.7727522970504743
215,0.7445205939489421,0.544711832938297,0.7021669160242389
216,0.6770214683108493,0.4786849028691708,0.6323156168571265
217,0.6091749124641151,0.4166177914001144,0.5644703629100253
218,0.5429426100932673,0.3599158671002299,0.5033043864103695
219,0.47982847696443004,0.31226762782238593,0.4436751637277475
220,0.42088674341901816,0.26495404700786557,0.388274502906971
221,0.3667672374742921,0.22396940078209437,0.3398560549119724
222,0.31778129300451075,0.18944423167964822,0.2963498622446396
223,0.2739746931565255,0.15970596554063518,0.25692369125056397
224,0.23519806429881981,0.1342568136340749,0.22115280582987162
225,0.2011689988593062,0.11259586317317687,0.18974113105153304
226,0.17152329584500423,0.0942683431584513,0.1623352762571025
227,0.14585488439237124,0.07879997227459884,0.138870331762741
228,0.12374531611026049,0.0657784404243941,0.11942820256233468
229,0.10478436789205305,0.054845117678700164,0.10249408405836465
230,0.0885834987116373,0.04568492135729427,0.08724122007622107
231,0.074783832108587,0.03802404901584886,0.07528891231188485
232,0.06306012449235592,0.031626636701779016,0.06444903149922229
233,0.05312191679398487,0.026291618158316623,0.0551964807231642
234,0.04471280597646855,0.021847983285736648,0.047081616769734866
235,0.03760854048638378,0.018148401496630138,0.0400217368621162
236,0.03161445045526924,0.015057699259495594,0.03432505139374378
237,0.026562570353057,0.012365042393449032,0.02929761646906046
238,0.022308694994685713,0.010151473684235275,0.02499711850823059
239,0.018729523477518734,0.00833255348813302,0.02134992194024052
240,0.01571998364671739,0.006838459962959643,0.018241707498578487
241,0.01319078644351282,0.0056115462194869905,0.015582427853401973
242,0.011066230252925037,0.0046339271223458664,0.013296329088116607
243,0.009282256332129523,0.0038413136819552664,0.011295118967779022
244,0.007784744626565171,0.003185093840563945,0.009593661321442463
245,0.0065280325543223714,0.0026411974896648704,0.00814746400102174
246,0.005473636032826802,0.00219007698882912,0.006937189294249298
247,0.004589150962942028,0.0018159387887888374,0.005937969166118671
248,0.0038473137458722995,0.001501017002090698,0.005082308673877096
249,0.0032252006134572,0.0012361149170936273,0.004349680702454439
250,0.0027035472130145432,0.0010179406247851392,0.003722466829815511
251,0.002266171746011016,0.0008382589593334968,0.003185552274566196
252,0.0018994868503684809,0.0006902836647615715,0.0027259753239789568
253,0.0015920872380549489,0.0005684232599512775,0.0023326244433277306
254,0.0013344017951955247,0.0004687092397055797,0.0019950863341816794
255,0.0011184003926533377,0.00038771116136342235,0.0017029274387270921
256,0.0009373470310130839,0.0003207085757540825,0.0014535214304461602
257,0.000785592157000221,0.00026528387122657146,0.0012406204789377432
258,0.0006583980473599273,0.0002192877282631373,0.0010588875125004172
259,0.0005517920735939117,0.00017994812930026953,0.0009037640785623257
260,0.0004624434508315048,0.00014766550053930505,0.0007713572058391407
261,0.0003875597509176222,0.00012117407710934834,0.0006583425822849303
262,0.0003248000374539588,9.943507342527202e-05,0.0005618817297446724
263,0.00027220197199262107,8.159599855206637e-05,0.00047955117654358416
264,0.0002281206576300475,6.695725818867866e-05,0.0004092819079203209
265,0.00019117733939873842,5.5069837453641465e-05,0.00034930761590469013
266,0.00016021637937199275,4.5326531322294964e-05,0.00029812047933076933
267,0.000134269176369534,3.7307060642350645e-05,0.00025443338517909926
