month_index,predicted,lo_5,hi_95
185,2.774527118359985e-268,4.257549010873322e-270,7.555104250564586e-29
186,4.0277159178155205e-173,1.4503544227668575e-174,1.6545682999708144e-19
187,3.966277900892031e-127,2.352762222071831e-128,8.32656284067289e-15
188,7.963782912250078e-99,6.707061596029591e-100,4.869166207867032e-17
189,2.394535700106437e-79,2.6054362484012577e-80,4.9920985828582585e-14
190,4.8834612745694094e-65,6.55114436103403e-66,8.42678846598362e-12
191,4.5809573294359736e-54,7.340346005528362e-55,4.418198533644256e-10
192,2.144720577393915e-45,4.010297639995072e-46,1.0312654783277874e-08
193,2.1699510864429488e-38,3.1301539911511994e-39,1.337837924876108e-07
194,1.2364666115744474e-32,2.0737786214781305e-33,1.1155468878086163e-06
195,7.64822723259612e-28,1.470202331848305e-28,6.606712497888545e-06
196,8.189607354331661e-24,1.7830858094322435e-24,2.9840231671419277e-05
197,2.1373333246436748e-20,5.218604961856847e-21,0.00010830352116169722
198,1.758303054572177e-17,4.773856806396744e-18,0.0003285562109126139
199,5.5553556207854984e-15,1.6649806098010171e-15,0.0008587421114292012
200,7.867065181469418e-13,2.5862422530631974e-13,0.0019802112431889845
201,5.6453489589120185e-11,2.0243178389118396e-11,0.004105448531937979
202,2.2660490330541527e-09,8.819386641969666e-10,0.007770149093773747
203,5.514923071141402e-08,2.3193794996987173e-08,0.013593235020357317
204,8.696293623890654e-07,3.936484622421443e-07,0.022207625107798182
205,9.38947313602899e-06,4.558313327095385e-06,0.03417311682457319
206,7.270935342170539e-05,3.7733997574838645e-05,0.04988783501254282
207,0.0004199581020004633,0.00023229734375318595,0.06951505512761018
208,0.001870635347721953,0.0011007189091470143,0.10405732862808358
209,0.006612583900207258,0.004129805661357197,0.14015329005371566
210,0.0190139662671688,0.012575070569584691,0.1675699017655122
211,0.04543488013274373,0.0318961874038532,0.1930759432166669
212,0.09192252361725492,0.07001619092597007,0.24048696679458537
213,0.1600525698575822,0.13158772474377595,0.2882438412075253
214,0.24330312828758116,0.20362693846195773,0.3710864295113291
215,0.32702614920401885,0.2657267911953445,0.459127789780949
216,0.39304792012138956,0.2980817335814399,0.5185689934545596
217,0.42665302028832885,0.30787168221712635,0.5495237815383556
218,0.42202733567191036,0.31354608552236934,0.5534410820088292
219,0.38344762881995353,0.3136604298863486,0.524456463619821
220,0.3223141601311185,0.26677140555242435,0.4781713179533998
221,0.2522653243473434,0.19685538756247678,0.41901716495613794
222,0.184911534659666,0.13638550817703862,0.410540919122227
223,0.127608866478127,0.08914848812309939,0.3954694245856706
224,0.08330608411470157,0.05519958059462253,0.38389485338558477
225,0.05166908267827156,0.03251496267659525,0.37279664888386627
226,0.03056704514971146,0.018291089846159018,0.35619954110507274
227,0.01731031190399589,0.009861418060032745,0.33593173748969585
228,0.009414787170612582,0.005111924129313485,0.3140637591441914
229,0.004932590383900626,0.002555390907082771,0.29122109846987054
230,0.0024962886326764236,0.001235190255155785,0.26811312683472865
231,0.0012233995129979967,0.000578752924591106,0.2451993944144755
232,0.0005819771280109634,0.0002634678646123257,0.22258133588307683
233,0.0002693011561137986,0.00011677525902853897,0.19927171158549128
234,0.00012145726363527183,5.0489971168013864e-05,0.1813084738409771
235,5.3487758463410484e-05,2.1333798034135482e-05,0.16253745352679347
236,2.3039014873981184e-05,8.82386536396538e-06,0.14760310395220633
237,9.721440227027792e-06,3.5780178242931536e-06,0.13156467006790373
238,4.024236499594798e-06,1.4244115536692144e-06,0.1140775610050151
239,1.6364630448600882e-06,5.57454742070082e-07,0.10067935644374335
240,6.545470521466583e-07,2.147315202533174e-07,0.08851472941543016
241,2.578051605013669e-07,8.150561329730186e-08,0.07757856449953665
242,1.0009850681443933e-07,3.0517144692125405e-08,0.06779804956777949
243,3.835181779758036e-08,1.1282165853429744e-08,0.059056830142016806
244,1.45135697667146e-08,4.122225743642512e-09,0.05125728408570113
245,5.42966257294947e-09,1.4898190247003865e-09,0.044377844441220414
246,2.009726736693054e-09,5.330215646671457e-10,0.038333058354431085
247,7.36544242540201e-10,1.8892517867506306e-10,0.03304033446771076
248,2.6746624501100293e-10,6.638529890776278e-11,0.028421174274681032
249,9.630265242214914e-11,2.314060561600247e-11,0.02440199410031633
250,3.440163431285876e-11,8.006891097487935e-12,0.020914615866100512
251,1.219963508397496e-11,2.751619864842953e-12,0.017896496090432652
252,4.297155760794886e-12,9.396835841358301e-13,0.01529075334796521
253,1.5042038066966082e-12,3.190527331109583e-13,0.013046045286536844
254,5.235217874792794e-13,1.0775475206367458e-13,0.01111633768757489
255,1.812440452588264e-13,3.621567114883585e-14,0.009460600204707062
256,6.24424870616709e-14,1.2117810448306303e-14,0.008042456454326394
257,2.1417046465311514e-14,4.0382183288251004e-15,0.006829810102326965
258,7.315888140778386e-15,1.3407686472563528e-15,0.005794463474501899
259,2.489763677189938e-15,4.4367732441747694e-16,0.004911740956808252
260,8.44460366506899e-16,1.4637673241819122e-16,0.004160125965854594
261,2.8554103862369214e-16,4.816173409285349e-17,0.003520917468730572
262,9.62844299286131e-17,1.5808240184370227e-17,0.0029779098212728856
263,3.238654385389513e-17,5.177679039719779e-18,0.0025170979846743284
264,1.0869510094519336e-17,1.6926570425481336e-18,0.0021554061812611163
265,3.640838935268252e-18,5.5244717853264265e-19,0.0018526065660357488
266,1.217425221558399e-18,1.8005293578547815e-19,0.0015917764851722147
267,4.0647133098103443e-19,5.861265917476415e-20,0.0013672287400184197
