month_index,predicted,lo_5,hi_95
244,0.33390120728991773,0.4721347033929105,0.9999999999999999
245,0.6445798258766059,0.784806456346557,1.0
246,0.9655041704689062,0.6976048250526716,1.0
247,1.0,0.5042187224258655,0.9063737366594998
248,0.7076232986712279,0.30784164707049994,0.6031595267836275
249,0.3796300940604174,0.15813156897441089,0.3464493154988894
250,0.17472257399639235,0.08072093684411356,0.19102363931818858
251,0.07482798150209587,0.038559760619412256,0.11194616506462245
252,0.031063300073520244,0.01750300143228869,0.06157039845985851
253,0.012728822696370861,0.0074859621295014535,0.03441909437095564
254,0.005188145492894608,0.003192549984729124,0.018989489384189574
255,0.0021100416647991662,0.0013337805878930861,0.010433725656768728
256,0.0008574038815002397,0.0005359430601300742,0.005721684099124513
257,0.0003482760512147302,0.00021191889549390297,0.0031343787336040813
258,0.00014144848727808511,8.430921170287619e-05,0.001716063335106824
259,5.7444337371393945e-05,3.3540794121198915e-05,0.0009392581716570401
260,2.33284385982062e-05,1.3343639664662326e-05,0.0005140077556492384
261,9.473705236514368e-06,5.308620386497804e-06,0.00028126900581093236
262,3.847267090629331e-06,2.1120141436303594e-06,0.00015390771654464933
263,1.5623707726088332e-06,8.410121520258353e-07,8.421615848003985e-05
264,6.344765708164009e-07,3.354867564323424e-07,4.6154595488789646e-05
265,2.5765997341256016e-07,1.3383670430173147e-07,2.5656103545274375e-05
266,1.046353132239322e-07,5.3395271049814914e-08,1.485208668948505e-05
267,4.2492235591405464e-08,2.1795305868266193e-08,8.50074168209762e-06
