month_index,predicted,lo_5,hi_95
220,1.794430739715884e-157,7.893759730216832e-159,4.675345663261293e-80
221,4.398971658462822e-87,4.477126828174693e-88,9.356926001789764e-45
222,1.39869771751863e-55,2.3255525218803617e-56,9.131123797779352e-29
223,1.4688124722647812e-37,3.459639541580256e-38,1.7245552666691968e-19
224,4.678666654539414e-26,1.4736377099265966e-26,1.496085547190552e-13
225,2.9081920326999845e-18,1.1643913696159154e-18,1.536811281754367e-09
226,8.445929754562672e-13,4.142250642244843e-13,9.593765472105635e-07
227,6.679935414763501e-09,3.905649313502678e-09,9.11022607338376e-05
228,4.172474296496311e-06,2.848709701851611e-06,0.002108605694238072
229,0.00040797897931696214,0.00031998326317459326,0.020858261920712252
230,0.009901879628377503,0.007909307430179114,0.0945656313030303
231,0.0823593705197285,0.0709835684730314,0.250384091262196
232,0.29625734929801534,0.25443603439355295,0.4404759902877704
233,0.5474438173297763,0.47506116825871886,0.6562805073932749
234,0.5918554513748384,0.49863753517679776,0.7072878980126237
235,0.41377943238776643,0.35561812076954685,0.5592245218369795
236,0.20229189584435323,0.17872209647621073,0.34578325366902485
237,0.07358133019941887,0.06181139053004131,0.19312473407546232
238,0.02092786000053801,0.016166460489954616,0.09728468026343369
239,0.004845562444434585,0.0036341791790764156,0.039220416571466736
240,0.0009439205516711347,0.0006670463103695927,0.013918415052869724
241,0.00015896508580021712,0.00010614138974224886,0.005332787553653234
242,2.367293734162057e-05,1.5010078411110706e-05,0.0019263773374971651
243,3.1768278477464064e-06,1.9266869160652593e-06,0.0006613309322521004
244,3.90332797131493e-07,2.2684488688326142e-07,0.000204164308308958
245,4.450657769970084e-08,2.4826896492544452e-08,5.818662123271729e-05
246,4.763609051870211e-09,2.5545324522402903e-09,1.594793469265166e-05
247,4.833062037254728e-10,2.4951609560868076e-10,4.2304252276496915e-06
248,4.687393916212888e-11,2.3328590818876962e-11,1.1397657804506362e-06
249,4.3772977212627974e-12,2.102735284289038e-12,3.118025153288607e-07
250,3.960615087045403e-13,1.8385173351162421e-13,8.40350042664851e-08
251,3.491051533076417e-14,1.5676926821503973e-14,2.2375607395564087e-08
252,3.0118593289049815e-15,1.309733083174423e-15,5.900402625455118e-09
253,2.553776466007003e-16,1.0764448134344702e-16,1.5441977941322198e-09
254,2.1357987898303355e-17,8.734199612563709e-18,4.018318352496223e-10
255,1.7673897159315353e-18,7.018106095757109e-19,1.041384697575992e-10
256,1.4510963589423728e-19,5.599629333273576e-20,2.6916716822872003e-11
257,1.1849607679044451e-20,4.447073378977132e-21,6.9473708171116666e-12
258,9.644522400186443e-22,3.5226781209859033e-22,1.7926045357523352e-12
259,7.838650956359742e-23,2.788394025912291e-23,4.628446481749531e-13
260,6.372414227633444e-24,2.209130144116631e-24,1.196861864300615e-13
261,5.189222384572859e-25,1.7542612901555183e-25,3.101975789682164e-14
262,4.2383351044336627e-26,1.398039566270073e-26,8.06320102831969e-15
263,3.475974479264098e-27,1.119382605675691e-27,2.1033255572745477e-15
264,2.865377448552728e-28,9.013556714804517e-29,5.508846788222232e-16
265,2.3762689299950004e-29,7.305443505553976e-30,1.4493350018087896e-16
266,1.9840701180617485e-30,5.964296917646587e-31,3.8318269599491106e-17
267,1.6690335536024836e-31,4.908220974031458e-32,1.0184182160986755e-17
